signal_strength,fiber_loss,temperature,traffic_load,power_status,equipment_health,humidity,fault
10,2.06945715073512,29,82,1,79,47,1
14,2.4653902328843165,33,49,0,53,57,1
99,4.685109266265046,32,43,0,61,39,1
23,1.921827408513859,26,74,0,67,64,1
36,0.38930444734419967,40,52,0,59,55,1
18,1.166370096823587,52,36,1,93,85,1
88,3.6877494719459825,30,83,1,89,34,0
24,0.18997724498319338,25,62,0,70,85,1
99,4.7741704063953065,30,26,0,64,46,1
51,5.416608462315392,53,76,1,77,93,1
86,3.0228458880664832,49,73,0,43,79,1
60,4.275019468367358,28,89,0,72,35,1
72,2.829793064025636,26,69,1,66,66,0
61,1.9217034376375908,37,91,0,74,30,1
13,1.0727116341915295,48,99,1,57,50,1
32,3.1571574970448926,40,25,0,72,50,1
24,5.5863484525721105,33,91,1,95,35,1
52,5.350835784620555,35,82,0,70,37,1
38,5.525792222333536,45,86,1,93,79,1
45,5.80183705457823,50,53,0,68,54,1
22,1.075612066714791,30,85,0,68,39,1
41,0.9644995136074782,51,73,0,85,47,1
80,2.623792306312203,45,39,0,74,77,1
68,4.166938063175894,52,65,1,58,82,1
95,2.694194127795991,30,41,0,78,67,1
37,5.364890788546795,39,78,1,88,31,1
75,4.332639254358799,32,21,1,40,94,1
51,3.8404277521325922,53,33,1,54,71,1
54,0.519123182127714,52,42,1,96,71,1
71,1.1344790221572194,23,75,0,72,61,1
66,2.6261071500477833,27,45,1,86,45,0
15,5.860611139212127,30,62,0,90,51,1
37,2.073011321643917,21,15,1,55,88,0
37,3.816855228843069,41,50,1,52,44,0
53,5.934545595877604,23,43,1,84,60,1
93,1.6577478475076215,44,35,0,68,41,1
39,1.0833354371253174,34,75,0,59,49,1
71,3.323366364590599,31,23,1,63,73,0
84,3.3561533040173774,52,46,0,49,79,1
98,5.539131131797756,51,24,1,89,75,1
71,0.255937561630482,25,90,1,88,93,0
10,2.503528625014154,20,67,1,60,85,1
36,1.9428541349020332,39,95,1,61,38,0
71,3.46921160781783,24,93,1,62,32,0
86,0.1550490936779479,21,28,1,78,90,0
12,4.295276469566651,33,28,1,65,47,1
79,2.961439480708843,36,13,0,72,66,1
81,4.234066314728708,37,52,1,68,86,1
36,2.742056660513357,36,16,0,67,35,1
18,2.8977377158362576,50,22,1,99,30,1
71,5.38374339562719,50,85,0,58,43,1
46,1.344299076884472,38,83,1,96,89,0
60,1.3831835336429998,51,89,0,63,87,1
53,3.4009119111507973,36,88,0,85,48,1
33,3.9953232198710693,43,48,0,61,49,1
88,2.1926605775446752,23,39,1,98,46,0
68,3.165115887157956,24,42,1,52,52,0
41,1.4443527724934402,20,94,0,79,31,1
97,0.901872671627987,45,86,1,92,62,0
61,1.5057496353908904,22,71,0,78,88,1
71,5.506601049251429,42,64,0,41,60,1
67,4.830726184223842,32,75,0,91,85,1
61,0.9274495011570404,41,28,1,82,51,0
21,0.37470580607969184,50,51,0,42,58,1
48,0.6497913338901918,27,71,0,49,47,1
11,1.8312535446301326,49,36,0,50,44,1
12,4.88701819294116,31,16,1,78,43,1
65,1.996109470981976,41,49,1,49,60,1
90,1.1953660532837416,34,74,1,44,30,1
68,2.4354625222019597,49,77,1,52,56,1
11,0.8319163718137881,43,25,0,61,42,1
11,2.874279383966373,44,36,0,54,47,1
63,4.085769512413208,21,80,0,65,85,1
96,2.2762068563642117,20,58,0,59,87,1
10,1.1243078260501937,39,27,1,45,75,1
28,2.7738651444164115,45,74,0,89,51,1
11,4.598686471613211,27,66,0,96,57,1
62,0.5519060846827757,38,74,1,60,90,0
53,0.5185290199383245,50,85,1,43,52,1
99,1.9768533626537488,34,53,1,43,39,1
41,2.5488114456828685,21,20,0,89,90,1
79,1.3771838307975184,21,79,0,83,30,1
41,0.2587727240921144,48,32,0,58,54,1
77,1.3954018872913865,52,68,1,51,86,1
64,2.668682244055202,29,65,0,96,70,1
84,0.5686213321737099,40,16,1,85,90,0
65,4.323761788999426,40,52,1,88,47,1
26,3.3573949820203586,32,71,1,85,56,1
47,2.6631972968344595,35,45,0,72,50,1
33,3.160399874955997,38,68,0,45,72,1
78,3.9692552939004826,43,57,0,44,70,1
79,5.969311183884957,42,84,0,80,91,1
95,4.67320836899456,23,62,1,44,34,1
20,3.2881423552177242,50,58,1,99,52,1
25,4.646149410213905,27,53,1,63,77,1
82,2.9038229431916234,44,10,1,66,79,0
68,1.934361346095498,42,61,1,88,45,0
79,1.645571539110124,30,31,0,91,38,1
89,2.4569277348919214,47,72,1,45,70,1
12,0.11347132487456565,42,87,0,83,64,1
29,1.1440398732057777,53,83,1,41,37,1
68,0.8465467349447502,30,54,1,78,39,0
45,5.766017955446735,27,42,0,89,73,1
28,0.48260216119897925,53,50,1,95,42,1
99,3.055739367427831,27,75,0,96,76,1
76,5.526335794296871,36,24,0,86,62,1
28,3.684369291255551,41,85,0,76,59,1
29,3.0220875602390733,27,17,1,71,44,1
80,4.4836609830181,20,50,0,79,49,1
61,2.184914220541081,33,91,0,59,65,1
42,1.2429151979202675,24,22,1,67,76,0
49,5.0989665092188545,46,37,0,85,85,1
48,0.4338347379539822,42,12,1,50,90,0
91,4.865984535613007,31,53,0,74,81,1
10,0.7098599307306698,49,98,1,52,45,1
20,3.790850479651157,27,36,0,78,36,1
66,2.9145792390629204,21,24,0,71,63,1
98,5.991392902540276,24,61,1,72,78,1
59,2.3887325748105175,32,65,0,62,82,1
32,5.747991517691928,36,84,1,53,57,1
40,2.4823049733157094,54,16,1,87,58,1
51,4.122032896405189,34,90,1,95,31,1
16,3.8976014861868475,31,82,0,50,34,1
25,0.6100665162286388,54,39,0,47,34,1
99,4.485858328546956,22,43,1,59,79,1
69,1.3311389029750744,29,76,1,59,74,0
11,2.391801580531959,21,52,1,94,82,1
10,4.714984407925931,34,55,0,46,72,1
57,5.671450751415583,26,13,1,99,53,1
21,3.4028415716212344,39,97,1,78,55,1
78,3.1643685560093795,27,55,1,99,46,0
46,3.079048159200536,45,38,1,89,59,0
41,4.917731706584822,27,27,0,59,41,1
18,5.95938487147744,49,54,1,98,44,1
28,3.8381871582905287,39,68,1,64,55,1
57,2.3338723162520023,50,48,0,65,85,1
89,1.39011945486021,48,26,0,61,51,1
12,1.2730451031056054,49,48,1,86,85,1
29,5.151290909465604,50,62,1,89,60,1
33,5.954877140739861,23,12,1,41,83,1
63,4.218143598483209,48,88,0,80,71,1
42,5.739390800798919,49,83,1,83,50,1
33,2.1649736456694795,41,35,0,55,44,1
84,3.802811877281863,51,88,0,49,58,1
81,3.118938866082424,31,45,1,54,76,0
45,2.943907131386898,49,21,0,68,51,1
47,3.8310044533464787,24,37,1,78,64,0
93,1.9309990054686526,21,91,0,50,60,1
98,3.8796717984743623,25,12,0,88,63,1
34,4.069883036926117,54,35,0,91,52,1
27,5.033068665706129,29,36,1,59,34,1
91,4.409840368868656,35,72,1,81,66,1
75,1.986669332438053,41,25,1,66,62,0
63,2.759720190108387,33,66,1,73,88,0
44,0.8102296761358635,35,55,0,77,31,1
89,1.6180354119704181,20,93,1,71,91,0
70,3.1735758536556973,35,28,0,46,41,1
50,0.6944886071006963,39,13,1,47,42,1
42,3.4665771452184426,51,48,0,66,91,1
77,2.4026469950079568,21,58,0,80,76,1
42,0.305121025126907,41,68,0,67,75,1
23,2.6632425015034573,24,42,1,84,42,1
30,1.758727041049973,21,74,0,59,83,1
57,0.4951665077274615,51,70,1,72,94,1
29,1.8308821822297043,30,75,0,80,66,1
17,1.8351612299837166,45,56,1,61,91,1
16,2.194934656566065,50,66,1,74,64,1
76,2.2622023181344417,34,41,0,50,50,1
26,2.6356518782506413,31,67,1,61,54,1
42,0.6425529535748818,45,55,1,88,63,0
57,0.1311389154217171,30,98,0,95,33,1
85,4.442442994478045,41,88,0,41,88,1
68,2.0903440516201144,47,65,1,43,92,1
95,3.7203094751989823,41,58,0,56,53,1
31,1.9115054376057965,40,60,1,89,62,1
39,5.906705308631195,29,87,1,95,75,1
47,1.9610057554685558,44,44,1,92,52,0
60,3.6697619748729813,33,51,1,82,75,0
63,1.3978303668309398,54,48,1,50,52,1
17,3.1550340324240302,28,18,1,54,39,1
36,3.518051759354857,23,56,0,46,65,1
36,1.1786618338801107,34,40,1,99,42,0
30,0.8295668995181955,48,25,1,79,82,1
39,5.84424761186392,29,67,0,52,78,1
37,5.370278930283071,52,96,0,57,86,1
73,3.9943960792239737,26,27,0,49,45,1
78,5.180220200406001,36,19,1,42,57,1
70,0.6638062006730538,23,18,1,83,83,0
57,4.403319865085309,29,58,1,56,90,1
28,1.7850656376220713,20,30,0,75,75,1
13,3.2830098290350525,39,28,0,95,58,1
44,4.612402118472947,26,84,1,49,47,1
73,0.2975280478502351,28,16,0,47,61,1
58,4.199545268484234,51,13,0,76,42,1
26,2.6657140637916097,47,91,0,58,86,1
53,2.6940699440808857,47,55,0,50,64,1
39,5.452940790389972,21,26,1,66,59,1
55,5.172444676985061,23,38,1,65,73,1
15,0.43944909406116006,36,37,1,78,87,1
46,3.7480610423171647,25,37,1,84,58,0
33,2.671492371436327,27,13,1,94,83,1
55,0.7951053394491441,31,85,1,42,36,1
62,5.121203179101645,38,13,1,45,53,1
69,0.5219153309814464,48,20,0,90,81,1
72,0.2893746320747639,51,74,0,54,51,1
94,1.2653416857244777,47,58,0,61,66,1
41,1.889937613940545,24,45,0,69,85,1
96,0.4591965868219191,31,67,1,95,80,0
42,3.883737608709364,24,23,0,56,89,1
76,2.6791851426711513,52,96,0,50,39,1
27,2.5319142834944435,50,99,0,63,74,1
34,0.957510330372401,44,88,1,42,80,1
63,2.682955593459873,26,72,0,83,30,1
67,2.401979072404904,44,12,0,77,91,1
76,2.363492047535252,48,40,1,79,40,1
55,1.389545370043272,30,97,0,63,33,1
33,0.6571802752746067,40,59,0,63,53,1
41,1.638176795001745,42,64,1,90,62,0
56,4.0368939728541,25,72,0,52,88,1
95,0.5302482769280831,42,68,1,78,71,0
32,2.3557142033440344,29,36,1,68,83,1
75,3.1348197607308808,54,34,0,80,33,1
36,5.782595694373237,24,89,0,47,79,1
11,5.078567512392053,37,15,0,92,78,1
99,5.508018663106661,40,19,0,47,58,1
26,4.938009094819482,34,35,1,47,33,1
42,3.575776012889382,31,15,0,88,71,1
18,5.1786421467388735,26,30,0,60,46,1
52,3.4349599606846413,47,31,0,87,62,1
57,2.2107131589469513,54,56,1,70,50,1
48,2.2968178036530627,26,82,0,87,60,1
51,3.43622410856852,37,49,0,73,73,1
35,4.875693774084659,39,56,0,69,85,1
59,0.8885508604472566,45,92,1,96,81,0
34,0.3316647958254392,53,47,1,88,72,1
33,4.758454894316727,33,37,0,46,35,1
22,3.9207932084208137,34,86,1,86,72,1
69,4.945730804537195,35,61,0,73,48,1
16,5.86239150925841,42,96,1,85,59,1
66,1.583224667378594,53,21,0,96,69,1
45,1.2463226545501407,39,33,0,80,88,1
54,2.111773429655872,38,33,1,97,44,0
29,5.279977563353893,29,78,0,89,31,1
74,0.18238682093330222,53,18,1,56,77,1
17,0.1621403264363848,27,44,0,41,66,1
25,1.379039682772152,40,28,0,91,31,1
23,2.317906144827302,20,66,1,60,91,1
85,1.883841921059077,37,10,1,62,77,0
96,4.967015272371679,42,58,1,97,88,1
24,4.169362075315287,35,67,0,76,45,1
75,5.043218723333183,44,49,1,48,90,1
41,2.364185737867222,24,71,0,64,36,1
96,3.6152806799075563,30,84,1,48,43,1
72,3.141187150261773,25,30,0,97,93,1
95,2.9008866358164087,33,93,1,72,69,0
60,1.7998089376499196,45,16,0,72,45,1
34,4.284401719898566,46,10,1,51,82,1
67,3.191774675245701,33,30,1,88,94,0
72,0.5637564084247711,48,16,0,89,74,1
71,0.10308206758476102,37,25,0,75,33,1
31,0.21988238824582984,37,63,0,80,70,1
67,0.5481052079613269,33,72,1,61,77,0
67,2.288629727685489,26,84,0,68,73,1
95,1.9034275543629342,47,61,0,53,94,1
58,1.0241900337931877,24,95,1,75,53,0
61,3.141150880503693,34,23,1,52,68,0
51,5.824070338487083,53,11,1,92,79,1
79,1.048110168394251,24,29,1,57,92,0
24,1.5784896387727543,23,77,1,74,41,1
63,2.826407832596801,36,51,0,95,79,1
69,3.8809604419598625,20,37,0,71,49,1
17,3.6414749461073073,29,30,1,61,92,1
62,3.1750757485287844,53,21,1,50,65,1
69,4.449882460372298,52,64,0,71,63,1
14,5.091078799735206,46,12,0,80,55,1
77,5.99390475376104,43,28,0,45,57,1
15,2.8465122446969633,47,10,0,64,47,1
56,5.970244064646072,38,10,1,94,44,1
64,4.409946520639438,21,13,0,45,37,1
49,3.9783163319546277,20,13,1,75,73,0
61,3.8741300874313724,44,84,1,42,35,1
25,5.473391339091463,22,13,0,79,90,1
22,5.69281240573412,26,25,1,45,66,1
39,1.1531106349464764,44,90,1,87,69,0
28,3.0112006622852165,34,94,0,53,46,1
26,5.654554115882953,23,50,1,48,87,1
72,2.3544657028503844,21,43,1,59,79,0
28,1.4727915605081219,25,10,1,61,52,1
67,0.7056537520997741,54,73,0,92,87,1
64,3.6235838609096302,53,29,0,56,35,1
99,4.2316096954209526,40,32,0,92,65,1
99,1.253733119625612,41,81,0,40,58,1
71,4.074464867715313,48,23,1,74,48,1
32,5.407753233883144,33,48,0,79,54,1
18,1.5371187803546262,26,56,1,48,73,1
21,0.8197993843449572,24,82,0,40,72,1
10,5.029001438811225,34,83,1,52,35,1
67,5.507033974678838,33,49,1,79,77,1
10,1.3676854604307727,54,82,1,81,71,1
43,4.356145240484519,47,55,1,43,71,1
57,3.586424832008993,45,45,0,63,91,1
98,1.5112590734776068,25,94,0,54,76,1
10,4.959580363807921,27,50,0,56,56,1
25,2.875580746624572,29,68,0,95,93,1
70,4.2319698593077195,41,25,0,68,34,1
73,1.878394697372522,29,96,0,87,39,1
72,4.913111440419556,38,44,0,89,54,1
78,1.6592871556075282,51,38,0,59,80,1
31,2.252244735175895,33,69,0,50,48,1
76,2.4096682336188238,43,92,1,54,48,0
85,1.3179183507795857,37,40,1,61,31,0
35,5.258779589223127,46,26,1,51,47,1
25,0.7695782557216916,37,35,0,43,44,1
60,3.4224614857710813,23,26,0,40,59,1
95,4.903490010481398,48,69,0,65,67,1
66,3.527339162522414,50,84,1,87,68,1
38,2.0286893234245102,22,86,0,93,76,1
87,4.709994855569752,36,76,1,50,56,1
78,3.045146594390421,22,27,1,81,51,0
56,1.0617758130337498,26,62,1,60,50,0
71,1.9694933216313302,50,69,1,57,65,1
78,3.5924449284749236,46,55,0,97,94,1
85,3.986781425508123,22,63,0,76,88,1
25,3.3339793349400715,32,72,0,99,82,1
99,1.7048556701205273,37,35,1,81,54,0
99,3.60314057706296,41,44,1,70,58,0
57,2.0614640458453914,31,65,0,98,91,1
94,1.4270343419275557,38,99,1,54,39,1
48,5.6786190879809775,49,44,1,89,33,1
42,1.9577530784341013,50,14,0,94,38,1
32,2.080160682898443,36,60,0,60,57,1
19,5.390981083107263,47,98,0,83,39,1
78,0.9418885550904187,23,41,0,57,61,1
43,3.549109749302856,24,92,1,42,71,1
61,4.723892748215762,54,47,1,62,90,1
19,1.7146260746799924,26,34,1,93,59,1
28,5.080078259735144,35,34,0,51,46,1
67,4.640928976193163,45,83,0,96,32,1
10,2.967954996873816,39,94,1,67,54,1
78,0.800422658130383,23,81,1,60,39,0
13,5.823632241207254,51,49,0,61,39,1
25,3.782958321793464,28,79,0,95,94,1
33,3.150880584735187,22,80,1,56,69,1
89,5.324152552653007,51,39,1,99,44,1
11,2.586001636956098,21,60,1,57,66,1
41,3.425483971244378,47,33,1,53,46,1
93,5.164636631771299,24,17,0,71,83,1
33,2.418535879511482,33,17,1,46,43,1
21,4.6571103223489905,29,69,1,44,53,1
59,1.6112128600863473,51,40,1,62,63,1
44,4.243954102589763,47,54,0,43,59,1
42,3.111565695422302,20,72,0,75,84,1
42,1.0729500974638233,22,77,0,80,80,1
70,0.9024440163378351,44,11,1,63,38,0
60,2.8003604215947777,49,31,0,84,63,1
52,4.293997943249964,49,94,1,68,44,1
21,3.659446333202442,34,44,1,44,57,1
76,5.142877673562583,50,48,0,56,92,1
74,2.3990037309014918,44,66,1,57,35,0
42,5.077488618372515,42,78,0,81,33,1
49,0.31846788692325834,45,74,0,66,73,1
83,2.258247237513104,41,40,0,69,34,1
52,0.5306000457420699,35,56,1,51,51,0
53,5.523540605963782,36,99,1,98,89,1
38,2.904341842871067,46,99,1,54,89,1
22,1.965323025751984,36,96,1,64,93,1
21,3.0056774620786397,36,26,0,82,90,1
55,3.2437918436018816,39,92,1,95,31,0
11,5.0927715835528335,21,76,0,78,71,1
44,3.3003236438931207,42,78,1,86,75,0
96,2.6451503956899436,47,68,0,72,70,1
90,5.771991239523876,45,98,0,85,66,1
99,5.814493014612672,31,38,0,81,48,1
17,0.3266590237968038,36,52,0,69,35,1
35,4.270389965978542,47,18,0,41,58,1
83,2.2933725867476054,30,19,1,93,60,0
99,4.083678052043809,30,67,0,45,37,1
43,3.857842124932932,34,89,1,90,92,0
16,2.047616628775445,45,88,0,63,40,1
77,5.921286465822273,48,92,1,85,73,1
67,2.2069457768277623,45,29,1,58,42,0
84,3.828691372727209,42,63,1,56,38,0
38,4.898979793740781,30,90,0,40,35,1
45,0.9582433897261635,23,28,0,58,64,1
98,1.873353509210996,29,45,0,95,89,1
30,1.273939039592479,52,62,0,47,85,1
45,4.7127523063128915,23,67,0,91,34,1
19,4.827130397545895,27,46,1,75,59,1
82,1.6100687825737998,41,39,1,81,43,0
33,0.12436811591712477,40,91,1,48,50,1
73,2.5977679131072966,49,38,1,93,75,1
58,4.154111922965972,49,98,1,89,61,1
45,3.772762860716908,35,82,1,84,70,0
91,2.729628767463875,21,69,1,47,84,1
33,1.881455657930979,42,45,1,40,31,1
32,2.898885318347719,53,63,1,63,88,1
71,0.18910657628419464,49,42,1,68,74,1
46,0.5358366547771385,47,77,1,72,70,1
21,1.059793066150729,24,59,1,49,65,1
64,3.7898916063820383,54,34,1,75,78,1
22,1.3909153454084862,28,48,0,49,36,1
32,2.597935622339258,38,18,1,78,42,1
98,3.7663239609230015,26,11,0,62,59,1
39,5.000403163390134,45,49,0,50,54,1
26,3.34297347082647,33,34,0,73,84,1
71,1.1450463747664605,51,47,0,92,31,1
93,5.715263197352458,49,87,1,59,56,1
98,0.631089382326646,29,92,1,73,31,0
95,2.26600381697685,21,34,0,84,46,1
22,5.535811250153184,24,58,0,67,92,1
68,3.653767436504555,25,72,0,89,48,1
28,4.009648341226633,47,66,1,92,51,1
58,1.8799866025983998,34,75,0,64,31,1
21,0.5633774765661292,48,83,1,99,60,1
70,2.257989767400096,49,12,1,68,61,1
28,2.4727284052200313,50,36,1,55,39,1
85,1.6946069332122267,50,39,0,90,32,1
18,1.3713638041851817,54,27,1,68,91,1
80,2.1975013738418765,45,67,1,61,31,0
37,3.8725595729051157,28,36,0,57,54,1
87,5.699305007997915,26,70,1,40,43,1
61,4.252306347078946,32,72,0,75,84,1
92,4.699658201178895,39,92,0,50,48,1
25,1.9057951202567964,47,67,0,94,61,1
78,0.7176856480954903,49,26,0,55,57,1
21,1.8199299182679478,46,13,0,81,87,1
34,2.475659846902991,49,30,0,73,37,1
61,4.170299944214399,43,67,1,84,43,1
94,5.642215545479504,49,20,0,85,73,1
62,4.874825834703627,20,89,1,55,40,1
32,1.671761684981708,43,27,0,74,50,1
25,4.939774020086454,39,26,1,90,61,1
66,2.529305974003957,27,23,0,72,79,1
48,1.135089029941144,36,71,0,46,37,1
62,2.8213955825616877,50,23,1,93,55,1
51,3.4230012169909627,23,43,1,53,46,0
67,4.604090145213643,53,69,1,59,80,1
48,2.164389301077743,52,75,0,64,59,1
23,0.9659979941285164,48,25,0,52,52,1
14,0.6566859290216345,38,45,0,42,38,1
44,0.7634313020649743,33,37,1,62,43,0
96,5.705138176097773,44,21,1,61,88,1
84,5.715332405549232,20,38,0,87,86,1
27,5.815663027891525,41,82,0,81,87,1
85,1.884684324461676,23,92,1,75,66,0
18,1.230525081232451,54,61,0,54,76,1
83,5.887395390206002,52,13,0,45,83,1
67,5.930758131728464,35,83,1,96,46,1
26,0.5622676075068608,54,82,0,99,49,1
16,4.5399157922279345,31,99,1,91,91,1
55,1.8031173717456854,26,61,1,49,39,1
22,5.46486259204867,23,33,1,92,73,1
49,0.6264275947199783,31,15,1,51,74,0
51,5.342608641436395,26,44,0,97,70,1
18,0.11546546891951999,34,22,1,57,84,1
59,3.179669450811562,25,50,1,54,94,0
36,2.079826700256686,36,39,0,85,59,1
75,2.621269146618221,36,87,1,84,93,0
14,2.659328970469239,23,31,1,69,57,1
38,3.9562586389005516,26,37,0,84,93,1
46,0.23627302750910945,26,88,1,58,66,0
47,4.179048238689333,52,15,0,70,67,1
92,0.23096896128014327,42,49,1,63,91,0
17,1.1931151859323292,47,73,0,59,35,1
74,3.6797757441824355,47,51,0,48,34,1
95,0.609980872057569,52,23,0,94,94,1
26,5.946331589003851,41,68,0,64,77,1
80,4.727866120214652,41,63,0,67,52,1
98,4.263428968166702,23,39,1,93,89,1
54,1.6793179369978082,43,10,1,77,93,0
13,0.3865328643750262,35,81,1,86,74,1
45,5.874807877445189,32,32,1,79,90,1
79,0.9723048517643691,34,46,0,86,50,1
40,5.000347314357024,52,86,0,94,61,1
28,1.2653527397074193,49,54,1,84,83,1
70,2.3071626650649684,42,33,1,80,67,0
63,4.192178583371119,24,95,0,77,64,1
48,5.677652859738648,53,10,1,88,71,1
83,0.21671590087339593,24,13,1,92,36,0
99,1.6385321314995676,23,93,1,85,35,0
28,4.613297581995967,35,26,0,77,91,1
48,1.123023625848764,30,83,0,92,44,1
76,0.757585201013787,46,90,0,93,94,1
54,0.3724897975366206,42,52,1,68,84,0
